1;Frances Mcintosh;$2656
2;Isla-Rose Lowe;$3879
3;Edison Stout;$8381
4;Sabina O'Neill;$3720
5;Selina Gordon;$5304
6;Hiba Dale;$7392
7;Ayaz Wong;$543
8;Reginald Carpenter;$2131
9;Harleen Lozano;$1293
10;Menna Roman;$4858
11;Rafi Cassidy;$7612
12;Isha Montes;$7177
13;Tom Sumner;$6057
14;Jennie Gomez;$9364
15;Hendrix Begum;$5507
16;Areebah Reynolds;$4342
17;Nojus Burnett;$2189
18;Khadijah Mccray;$-454
19;Lexi-Mae Shaffer;$270
20;Kasim Lindsay;$2588
21;Julia Lynch;$7627
22;Emmy Terrell;$3831
23;Roger Figueroa;$6959
24;Carolyn Hilton;$7863
25;Jade Firth;$5011
26;Ethan Metcalfe;$1102
27;Chardonnay Flowers;$777
28;Laylah Martinez;$1706
29;Esme Vaughan;$8006
30;Rhia Velazquez;$7952
31;Mitchel Rhodes;$4504
32;Zoha Campbell;$290
33;Toby Jenkins;$1428
34;Kendal Wills;$8775
35;Ianis Hastings;$3638
36;Umair Spence;$8133
37;Montell Pearson;$3137
38;Kerrie Hutchings;$5359
39;Rafferty Salas;$9641
40;Uzair Coleman;$8879
41;Chantal Jordan;$9608
42;Victor Pineda;$4309
43;Caden Coates;$9107
44;Abu Hicks;$1580
45;Roosevelt Odling;$7135
46;Kelis Buxton;$6968
47;Chaim Bellamy;$-963
48;Hermione Reeves;$4276
49;Martina Wilcox;$971
50;Aariz Gay;$3296
51;Silva Gabriel;$5500
51;Silva Gabriel;$5500
52;Silva Lucas;$-5500
55;Fuentes Maru;$65500
